REF OMINIUM,PORTO ORIGEM,PORTO DESTINO,AGENTE,CLIENTE,COMERCIAL,ETD,ETA,AVISO PREVISÃO,COBRANÇA SINAL,SINAL PAGO P/ QUAL DESPACHANTE,FECHAMENTO PAGO,AVISO CHEGADA,IMP,PACKLIST ,BL,CTNR,KG,NAVIO,STATUS,DESPACHANTE,FOB,REGISTRO,DATA REGISTRO,DESEMB,ENTREGA,FREE TIME,EXPORTADOR,REF AG.
,YATIAN,SANTOS,V3,,,2026-04-15,2026-05-15 00:00:00,,,,,,,HL260592,NBZY26040685,,,CMA CGM MISSISSIPPI 1AADJW1MA,AG. PREPARAÇÃO DE CARGA,,,,,,,25 DIAS,,
,YATIAN,SANTOS,V3,PIN,,2026-04-15,2026-05-15 00:00:00,,,,,,,HL260580,NBZY26040538,,,,AG. PREPARAÇÃO DE CARGA,,,,,,,25 DIAS,"YIWU SHENGYAN IMP&EXP C0.,LTD",IMV3SSZ0058-0426
,NINGBO,SANTOS,V3,,,2026-04-12,2026-05-15 00:00:00,,,,,,,HL260558,NBZY26040533,,,,AG. PREPARAÇÃO DE CARGA,,,,,,,25 DIAS,"YIWU SHENGYAN IMP&EXP C0.,LTD",IMV3SSZ0057-0426
,YATIAN,SANTOS,V3,,,2026-04-15,2026-05-15 00:00:00,,,,,,,HL260553,NBZY26040415,,,,AG. PREPARAÇÃO DE CARGA,,,,,,,25 DIAS,"YIWU SHENGYAN IMP&EXP C0.,LTD",IMV3SSZ0033-0426
,SHEKOU,SANTOS,V3,,,2026-04-06,2026-05-07 00:00:00,,,,,,,SHZ8008837,NBZY26040436,,,,AG. PREPARAÇÃO DE CARGA,,,,,,,25 DIAS,,IMV3SSZ0031-0426
OM0426-06,NINGBO,SANTOS,V3,SR LIN 10,WT,2026-04-05,2026-04-22 00:00:00,,,,,,NOVA AVANT ,HL260392,NBZY26030326,TGBU7875972,22260.0,CMA CGM MISSISSIPPI V.1AADJW,SANTOS DOC,MARCIO,,,,,,25 DIAS,"YIWU SHENGYAN IMP&EXP C0.,LTD",IMV3SSZ0081-0326
OM0426-02,NINGBO,SANTOS,V3,HD 08,WT,2026-04-10,2026-05-09 00:00:00,,,,,,NOVA AVANT ,HL260520,NBZY26040176,FFAU2319392,25340.0,EVER FEAT V.031W,SANTOS DOC,MARCIO,,,,,,28 DIAS,"YIWU SHENGYAN IMP&EXP C0.,LTD",IMV3SSZ0205-0326
OM0426-03,NINGBO,SANTOS,V3,LCL 15,AR,2026-04-10,2026-05-09 00:00:00,,,,,,NOVA AVANT ,HL260519,NBZY26040174,CSGU6851668,25230.0,EVER FEAT V.031W,SANTOS DOC,MARCIO,,,,,,28 DIAS,"YIWU SHENGYAN IMP&EXP C0.,LTD",IMV3SSZ0204-0326
OM0326-18,NINGBO,SANTOS,V3,ONZE 10,WT,2026-04-10,2026-05-09 00:00:00,,,,,,NOVA AVANT ,ULT-2026-4-3,NBZY26040144,TIIU5823900,13705.0,EVER FEAT/031W,SANTOS DOC,MARCIO,,,,,,25 DIAS,"MAIDE IMPORT AND EXPORT TRADING CO.,LIMITED ",IMV3SSZ0188-0326
OM0326-17,NINGBO,SANTOS,V3,ONZE 09,WT,2026-04-10,2026-05-09 00:00:00,,,,,,NOVA AVANT ,ULT-2026-4-2,NBZY26040143,EITU9832113,17549.0,KOTA EBONY 0005W,SANTOS DOC,MARCIO,,,,,,25 DIAS,"MAIDE IMPORT AND EXPORT TRADING CO.,LIMITED",IMV3SSZ0170-0326
OM0426-01,NINGBO,SANTOS,V3,MEI 02,WT,2026-04-10,2026-05-09 00:00:00,,,,,,NOVA AVANT ,HL260506,NBZY26040142,CSNU6950715,14280.0,EVER FEAT V.031W,SANTOS DOC,MARCIO,,,,,,28 DIAS,"YIWU SHENGYAN IMP&EXP C0.,LTD",IMV3SSZ0163-0326
OM0326-11,SHEKOU,SANTOS,V3,PIN 98 SEVEN SBL-2026-0227,AR,2026-04-07,2026-05-07 00:00:00,,,,,,MAXIMO FILIAL,HL260442,NBZY26030679,EISU8585376,19140.0,CMA CGM COBALT V.0BDNSW1MA,SANTOS DOC,MARCIO,,,,,,25 DIAS,"YIWU SHENGYAN IMP&EXP C0.,LTD",IMV3SSZ0148-0326
