nome,cliente_id
"YIWU SHENGYAN IMP&EXP C0.,LTD",1
"MAIDE IMPORT AND EXPORT TRADING CO.,LIMITED ",2
"MAIDE IMPORT AND EXPORT TRADING CO.,LIMITED",3
"YIWU JIEXIN IMPORTAÇÃO E EXPORTAÇÃO CO., LIMITADA",4
"HONG KONG HUIFU TRADING CO., LIMITED",5
"JITENG SUPPLY CHAIN (JINHUA) CO., LTD",6
YIWU SHENGYAN IMP&EXP CO LTD,7
"YIWU ZHONGXU TECHNOLOGY CO.,LTD",8
"KEJING TECHNOLOGY CO., LIMITED",9
"SHENZHEN XILEHUI TECHNOLOGY CO., LTD",10
"YIWU ZHONGXU TECHNOLOGY CO.,LTD ",11
"SHENZHEN FENGLIAN GUANGSHUN IMPORT AND EXPORT CO., LTD",12
"YIWU SHENGYAN IMP&EXP CO.,LTD",13
"HANGZHOU JIEQIONG TECHNOLOGY CO.,LTD",14
"SHENZHEN HEDI COSMETIC TOOLS CO.,LTD",15
"ZHEJIANG XUCHEN IMPORT AND EXPORT CO.,LIMITED",16
"WENZHOU XINMA TRADING CO.,LTD",17
