nome,navio_id
CMA CGM MISSISSIPPI 1AADJW1MA,1
CMA CGM MISSISSIPPI V.1AADJW,2
EVER FEAT V.031W,3
EVER FEAT/031W,4
KOTA EBONY 0005W,5
CMA CGM COBALT V.0BDNSW1MA,6
KOTA EBONY V.0005W,7
CMA CGM THORIUM / V.0BDNUW.,8
EVER FORTUNE V.1AAD9W1MA,9
EVER FAIR V.026W,10
CMA CGM KRYPTON V.0BDNQW,11
MAERSK HAVANA/606W,12
COSCO SHIPPING BRAZIL V.010W,13
MAERSK HANGZHOU/605W,14
CMACGM GEORGE SAND V.0W0JW1MA,15
CMA CGM BUZIOS V.0BDNMW1MA,16
ZIM BANGKOK/014W,17
ZIM BANGKOK 014W,18
ZIM BANGKOK/14/W,19
KOTA PAHLAWAN V.043W,20
COSCO SHIPPING CHILE V.006W,21
CMA CGM FRACOISE SAGAN,22
CMA CGM BAHIA V.0BDNEW1MA,23
MOL EXPERIENCE V.0099W,24
CAP SAN MALEAS/606W,25
KOTA PUSAKA V.039W,26
SAN FRANCISCA/552W,27
CAP SAN TAINARO/551W,28
MAERSK SAN VINCENT/550W,29
EVER FORTUNE V.025W,30
SAN ANTONIO MAERSK/547W,31
"COSCO SHIPPING
ARGENTINA/008W",32
CAP SAN MALEAS /606W,33
XIN WEI HAI V.169W,34
CMA CGM FRANCOISE SAGAN /607W,35
MAERSK SAN LAZARO/603W,36
 ,37
NAVIOS VERDE/0091W,38
SAN LORENZO MAERSK 602W,39
CMA CGM BALI 552W,40
SAN NICOLAS MAERSK/549W,41
EVER FUTURE V.030W,42
EVER FINE 023W,43
CMA CGM BAHIA OBDL2W,44
COSCO SHIPPING BRAZIL 007W,45
EVER LEADER 70W,46
