item_no;english_description_of_goods;quantity_pcs;pcs_per_ctn;ctns;nw_per_ctn_kgs;total_nw_kgs;gw_per_ctn_kgs;total_gw_kgs;carton_size_cm;cbm_per_ctn;total_cbm;marks
1;R101 Loose Powder Brush;4800;240;20;15.4;308;16.8;336;47.5*44*76;0.12274;2.4548;LIDONG | COD:R101 | Packing:120pcs
2;R102 Large Powder Brush;4800;240;20;15.4;308;16.9;338;49*37*62;0.112406;2.24812;LIDONG | COD:R102 | Packing:120pcs
3;R103 Blush Brush;4800;240;20;12.4;248;13.7;274;49*33*60;0.09702;1.9404;LIDONG | COD:R103 | Packing:120pcs
4;R104 Round Contouring Brush;4800;240;20;9.1;182;10.5;210;46*31*58;0.082708;1.65416;LIDONG | COD:R104 | Packing:120pcs
5;R105 Medium Powder Brush;4800;240;20;12;240;13.2;264;49*36*60;0.10584;2.1168;LIDONG | COD:R105 | Packing:120pcs
6;R106 Angled Maxi Blush Brush;4800;240;20;13.4;268;14.9;298;47*34*60;0.09588;1.9176;LIDONG | COD:R106 | Packing:120pcs
7;R107 Angled Blush Brush;4800;240;20;10.8;216;12.2;244;47*34.5*59.5;0.09647925;1.929585;LIDONG | COD:R107 | Packing:120pcs
8;R108 Buffing Brush;4800;240;20;10.4;208;11.8;236;36.5*30.5*60;0.066795;1.3359;LIDONG | COD:R108 | Packing:120pcs
9;R109 Fiber Stippling Brush;4800;240;20;10.6;212;12;240;46*31*59;0.084134;1.68268;LIDONG | COD:R109 | Packing:120pcs
10;R110 Founation Brush;4800;240;20;10.4;208;11.8;236;46*31*59;0.084134;1.68268;LIDONG | COD:R110 | Packing:120pcs
11;R111 Flat Contour Brush;4800;240;20;10;200;11.1;222;46*31*59;0.084134;1.68268;LIDONG | COD:R111 | Packing:120pcs
12;R112 Angled Flat-top Foundation Brush;4800;240;20;10.6;212;11.9;238;46*31*59;0.084134;1.68268;LIDONG | COD:R112 | Packing:120pcs
13;R113 Foundation Brush;4800;240;20;10.2;204;11.35;227;46*30.5*47.5;0.0666425;1.33285;LIDONG | COD:R113 | Packing:120pcs
14;R114 Facial Mask Brush;4800;240;20;7.4;148;8.5;170;44.5*30.5*47.5;0.064469375;1.2893875;LIDONG | COD:R114 | Packing:120pcs
15;R115 Concealer Eyeshadow Brush;12000;480;25;8.6;215;10.2;255;47*46*39;0.084318;2.10795;LIDONG | COD:R115 | Packing:240pcs
16;R116 Crease Blending Brush;12000;480;25;8.8;220;10.4;260;47*46*39;0.084318;2.10795;LIDONG | COD:R116 | Packing:240pcs
17;R117 Medium Eyeshadow Brush;12000;480;25;8.6;215;10.3;257.5;47*46*39;0.084318;2.10795;LIDONG | COD:R117 | Packing:240pcs
18;R118 Flat Eyeshadow Brush;12000;480;25;8.6;215;10.1;252.5;47*46*39;0.084318;2.10795;LIDONG | COD:R118 | Packing:240pcs
19;R119 Small Eyeshadow Brush;12000;480;25;8.2;205;9.8;245;47*46*39;0.084318;2.10795;LIDONG | COD:R119 | Packing:240pcs
20;R120 Contouring Shade Brush;12000;480;25;9.4;235;11;275;47*46*39;0.084318;2.10795;LIDONG | COD:R120 | Packing:240pcs
21;R121 Angled Contour Brush;12000;480;25;8.8;220;10.3;257.5;47*46*39;0.084318;2.10795;LIDONG | COD:R121 | Packing:240pcs
22;R122 Highlighter Brush;12000;480;25;9.8;245;11.4;285;47*46*39;0.084318;2.10795;LIDONG | COD:R122 | Packing:240pcs
23;R123 Angled Eyebrow Brush;12000;480;25;8.2;205;9.7;242.5;47*46*39;0.084318;2.10795;LIDONG | COD:R123 | Packing:240pcs
24;R124 Blending Brush;12000;480;25;9.4;235;11;275;47*46*39;0.084318;2.10795;LIDONG | COD:R124 | Packing:240pcs
25;R125 Dual-ends Eye Brow Brush;24000;480;50;7.6;380;9.3;465;47*46*39;0.084318;4.2159;LIDONG | COD:R125 | Packing:240pcs
26;R126 Lip Brush;12000;480;25;7.8;195;9.2;230;47*46*39;0.084318;2.10795;LIDONG | COD:R126 | Packing:240pcs
27;R127 Angled Contour Brush;4800;240;20;11.6;232;12.8;256;46*31*59;0.08556;1.7112;LIDONG | COD:R127 | Packing:120pcs
28;R128 Angled Foundation Brush;4800;240;20;12.6;252;14;280;47*34*60;0.09588;1.9176;LIDONG | COD:R128 | Packing:120pcs
29;R129 Angled Foundation Contour Brush;4800;240;20;11;220;12.9;258;46*31*59;0.084134;1.68268;LIDONG | COD:R129 | Packing:120pcs
30;R130 Angled Blush Foundation Brush;4800;240;20;10.6;212;12.1;242;46*31*59;0.084134;1.68268;LIDONG | COD:R130 | Packing:120pcs
31;R131 Angled Concealer Brush;4800;240;20;7.6;152;8.8;176;46*30.5*47.5;0.0666425;1.33285;LIDONG | COD:R131 | Packing:120pcs
32;P101 Loose Powder Brush;1200;120;10;7.6;76;8.3;83;43*32*37.5;0.0516;0.2064;COD:P101 | Packing:120pcs
33;P102 Large Powder Brush;1200;120;10;7;70;7.6;76;42*30*34;0.04284;0.17136;COD:P102 | Packing:120pcs
34;P103 Blush Brush;1200;120;10;6.6;66;7.2;72;42*30*34;0.04284;0.17136;COD:P103 | Packing:120pcs
35;P104 Contour Brush;1200;120;10;4;40;4.5;45;40*27.5*25;0.0275;0.11;COD:P104 | Packing:120pcs
36;P113 Fondation Brush;1200;120;10;4;40;4.5;45;41*27.5*24;0.02706;0.10824;COD:P113 | Packing:120pcs
37;P115 Concealer Eyeshadow Brush;1200;240;5;5;25;5.6;28;46.5*41.5*17.5;0.033770625;0.06754125;COD:P113 | Packing:240pcs
38;P116 Crease Blending Brush;1200;240;5;4.8;24;5.5;27.5;46.5*41.5*17.5;0.033770625;0.06754125;COD:P114 | Packing:240pcs
39;P117 Medium Eyeshadow Brush;1200;240;5;4.8;24;5.5;27.5;46.5*41.5*17.5;0.033770625;0.06754125;CODP117 | Packing:240pcs
40;P118 Flat Eyeshadow Brush;1200;240;5;4.8;24;5.5;27.5;46.5*41.5*17.5;0.033770625;0.06754125;COD:P118 | Packing:120pcs
41;P119 Eye smudge brush;1200;240;5;4.7;23.5;5.4;27;46.5*41.5*17.5;0.033770625;0.06754125;COD:P119 | Packing:240pcs
42;P120 Contouring Shade Brush;1200;240;5;5.3;26.5;5.9;29.5;46.5*41.5*17.5;0.033770625;0.06754125;COD:P120 | Packing:240pcs
43;P121 Angled Contour Brush;1200;240;5;4.8;24;5.5;27.5;46.5*41.5*17.5;0.033770625;0.06754125;COD:P121 | Packing:240pcs
44;P122 Highlighter Brush;1200;240;5;4.9;24.5;5.5;27.5;46.5*41.5*17.5;0.030515625;0.06103125;COD:P122 | Packing:240pcs
45;P123 Angled Eyebrow Brush;1200;240;5;3.9;19.5;4.5;22.5;46.5*37.5*17.5;0.033770625;0.06754125;COD:P123 | Packing:240pcs
46;P124 Blending Brush;1200;240;5;5.2;26;5.8;29;46.5*41.5*17.5;0.030515625;0.06103125;COD:P124 | Packing:240pcs
47;P125 Dual-ends Eye Brow Brush;1200;240;5;4;20;4.6;23;46.5*37.5*17.5;0.030515625;0.06103125;COD:P125 | Packing:240pcs
48;P126 Lip Brush;1200;240;5;4;20;4.6;23;46.5*37.5*17.5;0.033770625;0.06754125;COD:P126 | Packing:240pcs
49;P127 Detail Brush;1200;240;5;4.9;24.5;5.5;27.5;46.5*41.5*17.5;0.033770625;0.06754125;COD:P127 | Packing:240pcs
50;P132 Angled Contour Brush;1200;120;10;6;60;6.6;66;41*30*30.5;0.037515;0.15006;COD:p132 | Packing:120pcs
51;P133 Flat-top Fondation Brush;1200;120;10;5.8;58;6.3;63;41*30*30.5;0.037515;0.15006;COD:p133 | Packing:120pcs
52;P135 Setting Brush;1200;120;10;4;40;4.5;45;41*27.5*24;0.02706;0.10824;COD:p135 | Packing:120pcs
53;P136 Eyeliner Brush;1200;240;5;3.9;19.5;4.5;22.5;46.5*37.5*17.5;0.030515625;0.06103125;COD:p136 | Packing:240pcs
54;P138 Flower Shape Powder Brush;1200;120;10;7.6;76;8.2;82;43*32*37.5;0.0516;0.2064;COD:p138 | Packing:120pcs
55;R2010 /5pcs essential makeup brush set;120;60;2;8;16;9.2;18.4;49*43*34;0.07;0.14;COD:R2010 | Packing:60pcs
56;R2011 / 4pcs facial makeup brush set;120;60;2;10.6;21.2;12.1;24.2;54.5*45.5*39;0.097;0.194;COD:R2011 | Packing:60pcs
57;R2005 8pcs essential daily eyes makeup brushes set with Eyelash spatula;2400;100;24;11;247.2;12.2;273.6;60.5*42.5*36.5;0.10032;2.40768;LIDONG | COD:R2005 | Packing:100pcs
58;R2009/4PCS Daul -ended makeup brush set;2400;120;20;15.1;296;16.2;322;52.5*46.5*47.5;0.119568;2.39136;LIDONG | COD:R2009 | Packing:120pcs
;TOTAL;279840;;913;;8446.4;;9629.7;;;68.11538;
