Processo,Cliente,Despachante
ORC-001,Empresa ABC,Desp XYZ
ORC-002,Empresa DEF,Desp UVW

Volumes,Peso (kg),CBM (m³),Descrição Comercial
10 caixas,500,0.6,"Industrial sewing machines, electric, packed in cartons"
5 pallets,800,1.2,"Textile materials, bolts of fabric, assorted colors"
3 fardos,300,0.4,"Electronic components, small parts in boxes"
8 caixas,450,0.55,"Plastic products, injection molded items"
12 caixas,600,0.75,"Metal hardware, fasteners and fittings"
7 pallets,1200,1.5,"Building materials, construction supplies"
15 caixas,750,0.9,"Rubber products, belts and seals"
6 fardos,350,0.45,"Leather goods, pre-cut materials"
10 caixas,550,0.65,"Automotive parts, OEM components"
4 pallets,900,1.1,"Food products, packaged items"
9 caixas,480,0.6,"Pharmaceuticals, sealed containers"
11 caixas,620,0.75,"Chemical products, drum shipment"
5 caixas,400,0.5,"Ceramics, tableware and decorative items"
8 pallets,1400,1.7,"Machinery parts, heavy equipment"
13 caixas,700,0.85,"Textile finished products, ready goods"
6 caixas,450,0.55,"Glass products, packaged securely"
10 fardos,550,0.7,"Paper products, rolls and sheets"
7 caixas,500,0.6,"Electrical equipment, components"
12 caixas,680,0.82,"Refrigerated goods, insulated packaging"
14 caixas,750,0.9,"Furniture items, knocked down components"
